Inside Out,Pete Docter,Animation,8.2,8.2,2015,"Oh my god. This has to be the most misunderstood Pixar film ever created. I never realized how much hate this movie had gotten until now, but, reading through the reviews, it just isn't justified. All of these are parents complaining about it being too intense for young children, but, this film isn't for them. I found that it reached out to a completely new audience, one that Pixar hasn't really touched upon recently, and that is pre-teens and teenagers that suffer from depression. I am now 14 years old, and this film came out at just the right time for me, when things were taking a turn for the worst. I was going through depression and suicidal thoughts for reasons that I don't want to talk about, around the time in which this film was released. I hadn't seen a disney film in quite a long time, and my little sister really wanted to see this one. Looking at all the generally positive feedback, I decided to go see it with her. The opening sequence was possibly one of the best Pixar had done since Wall-E. It was beautiful and cinematic, and just adorable. Riley had some pretty gorgeous facial expressions and detailing for an animation standpoint. As the film moved on, I started to realize how well this film related to my life, and how well riley related to me as a character. Pixar was very subtle with it, but, managed to develop Riley's character so well, with her barely being on screen. The characters themselves were shockingly complex, especially sadness and joy. (Joy has a brilliant character design, with blue eyes and blue hair which we'll get to later.) The main plot basically revolves around a pre-teen going into a state of depression after moving to her new home, away from her friends, her hockey team. Depression, in my experience, isnt what it says it is. To me, it is a complete lack of any feeling whatsoever. When joy and sadness basically lose control of riley for awhile, this perfectly captured the ""what is going on inside their head"" meaning at the beginning of the film. Joy and sadness are the two most important emotions, and riley didnt have them anymore. A complete lack of emotion, a state of depression. The rest of the film after that was enjoyable, and a certain character whom I was almost sure going to be a twist villain after that monstrosity that was 'Frozen', turned out to be my personal favorite character in the film. Everyone's had some sort of imaginative personality growing up. I had one. It helped me cope with stress, I talked to it when I was mad about something, and whenever no one seemed to want to talk to me for whatever the reason, she was always there. That's why Bing Bong's death was just so hard to watch, because of how painfully true it is. I guarantee that 99% of the people on earth have completely forgotten about their imaginative friends growing up. The thing is, he didnt die, he was completely forgotten. When you think about it, it seems so much worse than dying. After that, joy seems to have forgotten about him as well. He isnt mentioned ever again in the movie, but, I'm kinda okay with that. If the movie forgets about him, the audience does as well, which creates an illusion. Now, let's talk about the ending. When riley returns home to her worried parents, she seems emotionless. Then I realized something, a slow realization that happened throughout the final scene in the film. True happiness cannot exist without sadness. This realization is depicted in one of the most brilliant forms ever, mixed emotions. As riley is growing up and maturing, mixed emotions become apart of her and her core memories. This symbolizes maturity and complexity as you grow up. This film got me to open up to my parents about my depression and anxiety, and I feel like I have matured just like riley did in the film. Pixar did a brilliant job as depicting our emotions, personalities, and maturity. I love this film so much, and it changed my life."
Dial M for Murder,Alfred Hitchcock,Crime,8.2,8.1,1954,"I had forgotten that most if not all of it happens in one single room. The planning of it is a display of extraordinary craftsmanship. Not a lagging moment. I was riveted to the, let's face it, preposterous plot from beginning to end. Ray Milland is a credible monster in elegant and civilized clothing. Grace Kelly, a peach as the unfaithful wife who stays home to cut newspaper clippings of her husband's past glories. Yeah, right. Robert Cummings has always been a mystery to me. A popular leading man with a long career. He only exudes a campy, if lightweight vibe that almost works in comedies and when he's in a supporting role - My Geisha and What A Way To Go with Shirley MacLaine are good examples. Here as Grace Kelly's secret lover, I don't know what to say. John Williams. very funny again as the Scotland Yard inspector, the same character to a T he played in Midnight Lace with Doris Day or was it his twin brother? In any case, no Hitchcock fan can afford to miss this filmed play, filmed by one of the undisputed greats."
V for Vendetta,James McTeigue,Action,8.2,8.2,2005,"I was a fan of the ""V for Vendetta"" graphic novel, and Alan Moore disinheriting the film was a bit discouraging. But he's always been a little crazy. The film version is everything I could have possibly hoped for - gripping, chilling, intense, exciting, heartbreaking. It gets Moore's music if not his exact words; elements are slightly different, subplots removed. But the idea - as V himself would be so proud to say - remains the same.The plot is surprisingly complex and nuanced, and I don't want to give anything more away than the previews already have. Suffice it to say that a masked anarchist (voiced by Hugo Weaving) must save a young woman (Natalie Portman) during his attempt to expose corruption in the government. Weaving is perfectly cast, using his formidable physicality and imposing voice to give gravitas to the insanity of the character. Portman has gone from child to teen star and is finally emerging as a talented, adult actress following her Oscar-nominated turn in ""Closer"". Here, she gives her best performance to date as the orphan Evey. John Hurt is characteristically impressive as the enigmatic government leader, and Stephen Rea gives a wonderful supporting turn as the police inspector charged with finding V - before it's too late.The Wachowski Brothers' former protégé, James McTiegue, takes on the directing duties here and helms an enormously impressive first feature, using every trick in the book in a manner reminiscent of his mentors' breakout hit ""The Matrix"". Unlike ""The Matrix"", McTiegue allows the story to be more of a focus than the action, and as a result the film is a tense and emotional thriller, with outbursts of spectacularly filmed and choreographed action. Showing more maturity and restraint than the Wachowskis, McTiegue doesn't show off, and his trickery isn't self conscious. When slow-motion overtakes a late action sequence, it seems as natural as breathing. The late cinematographer Adrian Biddle (the film is dedicated to his memory) does an outstanding job, Oscar-nominated Dario Marianelli's score is a fantastic accompaniment to the piece, and the visual effects are astonishing, terrifying, and deeply moving, especially in the climatic moments in Trafalgar Square.With solid acting, great action, and fantastic technical wizardry, it sounds just like another ""Matrix""-style ripoff. But the biggest difference in ""V"" is that it is a story of real ideas - not a fantastic, science fiction creation, but a genuine examination of the human condition. The power of fear takes center stage here - the fear of war, of disease, of famine. Fear is a basic human nature, and has been exploited as a weapon - a method of control - for centuries. And for those who would use it, a masked man waits in the shadows to carry out your sentence. The verdict? Vengeance. ""V for Vendetta"" is a must-see.10/10"
The Seventh Seal,Ingmar Bergman,Drama,8.2,8.1,1957,"Middle Ages: Antonius Blok, a Swedish knight, returns from the Crusades only to find his country dying of the plague, religious fundamentalists taking over and Death himself wanting him to come along. Antonius challenges Death to a game of chess and is meanwhile driven to desperation because of the absence of God. This description sounds like a very serious, philosophical and dour film, and actually it is serious, philosophical and dour; but there is also a little warmth, hope and humor, maybe not for Antonius, but for the viewer.When Blok and Death interrupt their game of chess (due to the plague, Death is very busy), he meets two actors, Jof and Mia, with their little son, the most human characters of the film, and I don't think it's a coincidence that there names sound very much like Joseph and Mary. These people may be a little dim, but they are good at heart and you can see the happiness in Antonius' eyes when he is together with them for the first time. But the main aspect of Ingmar Bergman's arguably best film are Antonius Blok's grim encounters, as the young girl about to be burnt at the stake, as a scapegoat for the plague. And the haunting image of a huge crowd of flagellants interrupting a play of Jof and Mia and trying to convince the crowd thery are doomed; hardly any other film is that direct in asking controversial and essential questions about God, religion and mankind as The Seventh Seal.Another reason for the impact this almost 50-year-old film has still today is the acting: Max von Sydow's face always seems to reflect what Antonius Blok is thinking, Nils Poppe's performance as the naive actor and caring father is priceless and Bengt Ekerot's Death became a part of film history and survived all its spoofs (the best one being in Woody Allen's tremendously funny ""Love and Death""). But the best performance is done by Gunnar Björnstrand as Antonios Blok's misogynist squire, dryly commenting all their encounters even in the face of death.The Seventh Seal is not subtle in raising it's questions, that's for sure. But it makes you think about these questions nevertheless. It's disturbing and grim most of the time, but at the end it gives you the hope that it might become better."
There Will Be Blood,Paul Thomas Anderson,Drama,8.1,8.1,2007,"People did not like this movie for a simple reason: too negative. I can understand that this movie is so depressing in so may ways. What it shows that Big Fish eats Litte Fish and none of us want to think about that anymore than most of us experience it in our daily life. It shows the battle between the evangelicals and the corporate business man. Or maybe even the battle between evangelicals of today and the non-religious people or atheists of today. Even worse is that this movie shows that religious people, priests are or can be as bad as a corrupt oil man. Maybe why people did not like this movie is because it might have offended them. Especially Paul Dano playing the priest. Both Daniel Day Lewis and Paul Dano are wrong and too extreme on their opinions. People are able to accept this. What people cannot accept is though that these same extremities and same misguided opinions from both characters are very much true in that they are heavily believed still today. Not all Christains are like Paul Dano's character and not all business man are like Daniel Day Lewis's character but many are like them. That is the world we live in.Now is their any alternative or positive side? The answer is yes and that is H.W. the son of Daniel Plainview(Daniel Day Lewis). He epitomizes hope. He shows that despite being deaf and having a father who uses him as a ploy for better business he can still break free of the chains that he is being tied down by. What separates H.W. from the residents and evangelists of Little Boston? The difference is that he and his father are educated and they are not. That is how Daniel Plainview is able to manipulate and cheat them the Sunday family, even Eli Sunday(Paul Dano) the priest and preacher of Little Boston. From what H.W. sees and experiences he sees that much of what is around him is just wrong. He uses his experience that he had gained as a kid to break free of the corruption and chaos that could have taken over him. That is one aspect of the education I'am talking about: our experiences and understanding of what is happening around us. Now to get to the technical aspects of There Will Be Blood. It is just truly spectacular in every way. First off the acting was amazing. Daniel Day Lewis gave arguably the best performance of his career playing Daniel Plaiview or ever since movies began to be made. He freaked me out and probably shocked many people. His thirst for power and money was at such a high level that it made me wonder about what people are really capable of. The deceiving, the greed, the thirst for power and the every man for himself attitude actually looked more real than ever to me. Without Daniel Day Lewis I don't think this movie could have achieved what it has. Paul Dano gave a great performance as Eli Sunday though people tend to disagree. I think he gave a great portrayal of an extremist evangelical priest of how he himself had his own thirst for power and how he was more blasphemous then respectful and gracious to god then how you would expect a priest to be. How could people not be shocked by these two characters, I was myself.Why was the music for this movie not liked. I thought this was among the top five musical scores I have ever heard. The music perfectly gave you the feeling of the corruption and deception setting into the movie. It perfectly intertwined with the rest of the movie as the movie itself was ever growingly becoming more and more chaotic and surreal. Probably too shocking though.Paul Thomas Anderson I believe gave the best directing job of the year. He was able to show the oil fields and its processes, the rise of an oil man, the way everyone can be bought even a priest and the hope that H.W. represented. This movie was never boring and it was as stunning of a directing job as Daniel Day Lewis gave as a performance for his role in this movie. The intensity of this movie was as high as a movie could possibly be and some of the credit for this has to go to the director. The cinematography and the music seemed to intertwine perfectly like the rest of the movie. It gave the sense of the time period and as said before the greed, deception, etc. The cinematography did not just give you a negative feeling but a feeling as if what you are watching is real.You should not like this movie just because of the great technical achievements as you should not for any movie but for what it says and how it says it. I'm not even sure if you should enjoy this movie in general but you should not be blinded by your opinions. I applaud you whoever out there who can somewhat understand this movie and get past the lying and deceiving we do to ourselves. This movie really shows the humanity of human beings. Why is this rated-R?It has so many intense scenes that if you get inside this movie it is truly haunting. Now maybe this movie was too powerful for many people, it was probably even shocking for realists. Maybe though its not that surprising that so many people don't like this movie because the truth hurts. Not the truth about corruption or about people but the truth about ourselves."
Room,Lenny Abrahamson,Drama,8.2,8.2,2015,"SPOILER: At the 2015 Toronto International Film Festival the film ""ROOM"" won the People's Choice Award today. It tells a story of a young woman and her five year old son who have been held in captivity in a confined and windowless living space for six years. Brie Larson stars as Ma and her son named Jack is played by Jacob Tremblay who is so believable that you will feel empathetic towards their captivity but relief as to how Ma convinces Jack that their little world is real and is wonderful. As Jack grows he starts to ask questions about their isolated lifestyle and we the audience anticipate that Ma must try and escape with young Jack but how?The story draws similarities to the actual events that were Jaycee Lee Dugard's true life story which occurred on June 10, 1991, in South Lake Tahoe, California. Dugard was 11 years old at the time she was abducted from a street while she was walking from home to a school bus stop and she was held captive for the next 18 years in a concealed back yard in a make shift shed. There is also some resemblance to the kidnapping of Amanda Berry who had a child fathered by her kidnapper Ariel Castro. This film was titled Cleveland Abduction and it was released in 2015. It tells the true story of three girls who were held captive for over 10 years by Ariel Castro in his home with no one aware how close the girls were to their own homes and families.The film Room focuses more on Jack and Ma's awkward adjustment to life outside of their room which was their entire world for the past six years. There is a strong supporting cast including performances such as Joan Allen's role as Jack's loving Grandma and the ever convincing all-star William H Macy as a resistant Grandpa who is having difficulty accepting that his daughter is raising her rapist's son. There are some scenes that are so heartwarming that it will be difficult not to find yourself becoming emotionally involved. In one particular very touching and loving scene, Jack asks his Grandma to cut his long hair so that the strength that he thinks that his shoulder length hair possesses can be transferred over to his sick Ma so she can return home from the hospital. Jack who understandably is initially withdrawn from anyone other than his Ma simply tells his Grandma after she washes and cuts his hair that he loves her. This loving scene between Jack and his Grandma will stay with me forever. Jack and Ma's is a story of isolation, fear, hopelessness versus hope and most importantly a film about redemption and the family bond. Room is deserving of an Oscar nomination for best picture and nominations in a few other categories as well such as best actress, best actor and best director. I give the film a 9.5 out of 10 rating. This film is terrific!!"
Trainspotting,Danny Boyle,Drama,8.1,8.1,1996,"After reading some of the reviews that trash this film I had to speak up.This film is gritty and dirty. There is content which is not pleasant, swearing and violence amounts other things. What else would you expect a film about drug addiction to be about? Well more than that actually, it about choices and what you Choose! Never at any point did this film make drugs look at all appealing to me in any way, I never did understand why so many people thought that it did. At no point did it ever say ""Look at this, its cool."" For those who think the level of swearing in this film is too much then they clearly haven't spent any time with working class people in Britain, not just Scotland. I being one of them can say its fairly accurate in that account.That being said, those things do not take anything away from the film, the quality of plot and story, or the acting which is Stunning! Robert Carlise as Begbe was excellent, and Ewan MacGregor shined. Also the character Spud was worth a mention he really was quite good.This film is in my Opinion a work of Genius, that represents the book accurately."
Andhadhun,Sriram Raghavan,Crime,8.4,8.7,2018,"Many have reviewed Andhadhun and rated it highly and I am no different. I found it pretty damn entertaining myself. Following is just a review of the ending and how enriching that experience was for me as an audience. Hope you all like it.Watched Adhadhun again today. I never made a post about its ending the first time because I liked the Director's version of the open ending and leaving it up to the audience's interpretation.However, when I watched it again today, I realized that the film does not have any open ending if you carefully observe it.Before I go into the meaning of the ending we have to understand the phenomena of Rabbit or Duck illusion. Google ""Rabbit or duck"" for the image and the reference for rest of my review.For decades now, the Rabbit or Duck illusion has been presented as a test for level of creativity. What you notice in the image determines what part in your brain is more active. A lot of people look at Duck only, Some people see Rabbit only and some see both.Of course you can see both if you know that it's an illusion and you pay way too much attention to it and if you try to look for it.However, the real trick is (and this is the next level - not part of the original illusion but something that Raghavan has done here), that what if there is no illusion? But being used to the concept of illusion, we are forced to look for both Rabbit and the Duck.Andhadhun - There is no duck. It's only a rabbit.In the last scene of the movie, the waitress from the Restaurant comes outside and gives Ayushman his cane back. This Cane has a Rabbit at its handle (Raghavan starts his Rabbit/Duck illusion here)The movie begins with Ayushman's voice telling Radhika - ""bahut lambi kahaani hai....Coffee? - It's a very long story...Coffee?"" (This line is repeated towards the end and that's how the audience know, that Ayushman is telling the story of his life to Radhika)But interestingly, the story telling takes a pause right towards the climax (when Ayushman and Doctor in the story are driving off)...the scene cuts to London and Radhika says - ""Aur phir? (and then?)""This is sort of the writer's way of writing an Epilogue solely to ""create the illusion of creating an illusion"". In the Epilogue story, where Ayushman tells the story of Tabu's accident and how the rabbit jumped and caused the accident - there are only 2 souls that can know about the Rabbit. 1- Tabu (who was distracted) and 2- Rabbit (because it caused the distraction)...Even Ayushman won't know because he was blind. So very clearly, Raghavan tells you that Ayushman is simply bluffing in this final piece.Now some may say that the shooter also saw the rabbit and he could have come and told Ayushmaan (blah, blah) - but I am basing my explanation on what is shown. Not on, what is not shown and is pure conjecture.Here is one more thing - Tabu dying would have been a bigger piece of Info which Radhika would already be aware of since the case was such a high profile one, but she seems to get all this info first hand from Ayushman, completely oblivious of Tabu's whereabouts until that moment.So Raghavan very cleverly tells the truth, but by that time- we the audience are so trapped in this brilliant tale of our hearts wanting to continue in the suspense, that we want to believe there is an illusion for sure.Raghavan even more clearly tells it very loud and clear that there is no illusion- by having Ayushman's cane with a Rabbit(or duck) handle, clearly saying- that Ayushman is selling the illusion because he has no way of validating the presence of Rabbit but he is telling that in his story.It is absolutely a delightful way of gripping your audience by having them look for things that they invent as they go.Adhadhundh (the original word not the movie title - notice the spelling difference) - basically means, something that happens extremely fast and recklessly without any validation or thought - Exactly what the ending is.Fantastic!"
No Country for Old Men,Ethan Coen,Crime,8.1,8,2007,"The message of this film is that there is no symmetry to life. What goes around does not come around. The fall of the coin has no bearing on the way the cookie crumbles. There is no right or wrong to the fates of men. No justice. Opportunities seized may lead on to fortune, but they could just as well lead on to dusty death. Only children expect things to be fair. As things once were they need no longer be. Now that IMDb has decided to list reviews by date there is a slightly increased possibility that this effort will be read by someone. Performance reviews are absolutely not read by me for helpfulness, but for interest and entertainment."
The Elephant Man,David Lynch,Biography,8.1,8.1,1980,"If one was to turn on David Lynch's The Elephant Man midway through, without knowing what it was, one might be startled at the appearance of the main character. One might even be tempted to make fun of the character. But if one was to watch the film from the beginning, one's sympathy with John Merrick (John Hurt), 'The Elephant Man,' would be strong enough to deny that the former situation was ever a possibility. Lynch does not allow his audience to glimpse Merrick sans mask until his appearance has been built up substantially. When we the audience are at our zenith of anticipation, we see him-no dramatic music, no slow motion; a simple cut and he's there. There he is. And it's no big deal. This is the beauty of Lynch's direction. We are led through our morbid curiosity at the same rate the characters in the film are. We develop alongside them. More specifically, we develop alongside Frederick Treeves, played with an astounding sublimity of emotion by Anthony Hopkins. Next to Treeves we pity Merrick, respect him, pity him again, and then ask ourselves with him, 'is he just a spectacle to me? Am I a bad person?'Lynch certainly doesn't let us bypass this question easily. Are we bad people for being intrigued or are we good people for pitying? Certainly there is a mix of intrigue and pity with every character who first meets John, and we are not excluded. However, as with almost every character who truly comes to know John and confer with him, we learn to respect him as a human being and not as a spectacle. Nonetheless, this issue never finds close in the film, nor do I feel it ever can be closed in actual life. Hopkin's Treeves is never fully sated in how he feels about this dilemma, and so, neither can we be.Technically, The Elephant Man is a beautifully shot film. In crisp black and white, the film recalls the cinematic technique of American cinema circa the 1930's. The scenes dissolve into one another; there is no brisk editing. The lighting is kept low-key during dark scenes, balanced during daytime scenes-this is standard film-making of the era. The one digression from this form are the distinctly Lynchian surrealities-pseudo-dream-sequences of commendably original imagery that break up the film and serve as distinct mood-setters for the audience. These are, for the most part, fairly intimidating sidenotes. We as an audience are caught off-guard because in these tangents we are not identifying with Treeves, we are put instead into Merrick's shoes. It is unsettling.But Lynch has never been a director to flinch at unsettling prospects. We must watch Merrick beaten, abused, harassed, humiliated, and tormented. We may feel a surge of happiness when he finally stands up for himself, but by that point we still have to cope with what we've already, what he's already, experienced. I suppose that is the greatest and most devastating aspect of the film-empathy. Every moment is heartbreaking. Yet no matter how hard it gets, and how much better it then turns, there is always the threat of another jab. And those jabs only get more and more painful.The Elephant Man is a perfect film. It is sorrowful but it apologizes not at all for it. It is a film about where our empathy stems from, a film that asks you to feel sorry but rebukes you for your blind pity. It asks you to respect Merrick, not cry for him. But you can't help crying. The Elephant Man is a film that treks you through despair and asks for your hope in the end. It asks you to hate humanity but to love the humane. It asks you to look at a man who appears sad and know that inside, he's okay."
The Sixth Sense,M. Night Shyamalan,Drama,8.1,8.1,1999,"The Sixth Sense enjoys being playful with our imagination. What your eyes see is not exactly what it is. What your mind paints is not exactly what there is. In the world of The Sixth Sense logic is your worst enemy.There are obvious (and sometimes less obvious) hints right in front of you but you don't grasp them because of your preconceptions and premises. I once read a novel called 'Somewhere carnal over 40 winks' which used similar techniques found in this movie, but in writing. I'm sure you will enjoy this book as much as I did, if you like to be intellectually surprised.If you haven't seen this movie, don't read reviews and don't talk to your friends who have already seen it. The movie is very much susceptible to spoilers. It is suffice to say that the ending is just shockingly delightful.I don't consider this movie heavily philosophical or thought-provoking. Having said that, it is one of the movies I love to watch again and again."
Shutter Island,Martin Scorsese,Mystery,8.1,8.2,2010,"I know there is already a spoiler warning up top but I am going to warn you again. Don't read this because I am going to give everything away.I had this movie all wrong I will admit at the start I didn't get it and I was angry but after having a chat with my friend who went with me we both gasped when we realised what happened. The twist wasn't that he was the inpatient (seriously I think everyone saw that coming from a mile away!) the twist was the intervention actually worked. He was cured, he deliberately made it look like he relapsed because he did not want to live with the memory of what happened to his family. He blamed himself for ignoring that his wife was clearly unstable. The line ""would you rather die as a good man or live as a monster"" Depicted he wanted to die as a good man (lobotomized) then live with the memory of what happened. Also the symbolism of fire and water tells you when he is hallucinating (fire) and when he is lucid (water trickling through.) The delusion he concocts to save himself from accepting the truth is that his wife died in a fire. All the people he talks to surrounded by fire is a hallucination – the woman in the cave, the patient in the cell, the scarred faced man who he thinks killed his wife, the car blowing up – all a delusion. The water symbolizes reality trying to break through. He is afraid of water – ( and rightly so!His kids were drowned, they all died in front of the lake.) Also at the start he says he gets 'sea sick' – he is mortally afraid of water. He has to swim to get to the lighthouse.To truly get the best affect of this movie you have to see it more than once. (I have only seen this once but I promise you I will see it again)I think John Anderson from the Wall Street Journal got it right when he says the film - ""requires multiple viewings to be fully realized as a work of art. Its process is more important than its story, its structure more important than the almost perfunctory plot twists it perpetrates. It's a thriller, a crime story and a tortured psychological parable about collective guilt."""
The Thing,John Carpenter,Horror,8.1,8.1,1982,"A classic film. John Carpenter's ""The Thing"" is one of the most entertaining horror films ever made - fast, clever and purely exciting from start to finish. It is one of my personal favorite horror movies. This is how all movies of the genre should be made. Set on an isolated base in Antarctica, this version seems almost to pick up where the original version (The Thing From Another World) left off. The American scientists discover a decimated Norwegian base some miles distant. Everyone is dead, and only the half charred remains of some unidentifiable thing left to smolder outside the compound might offer any answers to what may have happened. The Thing is brought back to the American base and, too late, the scientists realize that it is alive and lethal. The Thing thaws out and is off, not only killing anyone and anything that crosses Its path, but also absorbing them, making Itself into whoever and whatever it wants. The film then turns into a brilliant paranoia piece. Everyone is suspect, anyone can be The Thing, and no one trusts anyone anymore. Gone is the strength and security found when human beings band together in spite of their differences to battle a monster. The group splinters and fear rules supreme. Who is the Thing?Seriously I Love this movie I love it To Death. I love Escape From New York and I love Escape From L.A. but I also love The Thing so much better this is definitely the best Carpenter film a truly masterpiece classic I love R.J. MacReady - Kurt Russell I love everything about this film that is. Science Fiction, Horror and an Action Epic Film. A lot of the practical effects were left out but the it looked nice and the acting was good and it expanded upon the monsters background and showing you the inside of the ship. It must of been tough to bring across on screen the visual design. In my opinion, nobody has topped this film in the 25-odd years since its release. I'll put any of ""The Thing's"" old-school effects up against any CGI-driven movie, or this cast against almost any other ensemble. If you haven't seen the film yet, I envy you because I WISH I could see ""The Thing"" again for the first time. WOW! Does more need to be said? How about this...there is no parallel. Who's your friend? Who's the Thing? Who do you trust? Who can you afford to trust? If you've never seen this movie...your in for a treat. The only other movie that had such an impact on me was The Matrix (the first movie)...where I left the theater touching the walls wondering if they were really real. This movie will leaving you wondering....is the guy/gal next to you really real?""Trust is a tough thing to come by these days."" John Carpenter's The Thing is a seminal piece of horror that is not only a fine specimen of its era, but it also serves as a shining example of horror done absolutely right in any era. Combining gross-out special effects reminiscent of Hellraiser, the nail-bitingly intense, claustrophobic filmmaking of Alien, offering a story that is very well-paced, such as George A. Romero's Dawn of the Dead, and presenting the idea that true terror can be found at any time, in any place, and inside anyone, much like Alfred Hitchcock's Psycho, The Thing works on every level, and represents the peak of each and every aspect that may be utilized to make horror films effective. Granted, this amalgamation of styles is not the only formula for winning horror.The basic plot about this movie is Horror-moister John Carpenter (Halloween, Escape from New York) teams Kurt Russell's outstanding performance with incredible visuals to build this chilling version of the classic The Thing. In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Once unfrozen, the form-changing alien wreaks havoc, creates terror and becomes one of them.It is one of the best favorite horror films of the 80's ever. I love this film to death. The Thing is the best classic horror film from master and genius John Carpenter! 'The Thing' is classic Carpenter and one of the few remakes that is better than the original. Kurt Russell's characters: Snake Plissken, R.J. MacReady and Jack Burton are Kurt's best favorite characters he ever played. I also love the music score from Ennio Morricone! Awesome!!! 10/10 Grade: Bad Ass Seal Of Approval"
The Bandit,Yavuz Turgul,Crime,8.3,8.5,1996,"From the cinematography to the plot, to the fine acting, this film is a great example of the diversity of film-making outside Hollywood. A triumph from beginning to end, this film is pretty difficult to pigeonhole as it has so many elements to it. Is it a thriller, is it a reflection on one man's life, is it a buddy movie, is it a revenge movie? It's all this and more. It's got a great pace about it and the depiction of city and country is nicely juxtaposed in many of it's scenes. It's a while since I've seen this film, but there are so many scenes which have stayed with me. I love this film, but damn it's difficult to find."
The Bridge on the River Kwai,David Lean,Adventure,8.1,8.1,1957,"After years of more intimate British films and just discovering the joys of location shooting with 1955's ""Summertime"", master director David Lean made his first actual widescreen epic with 1957's ""The Bridge on the River Kwai"", an acknowledged classic that deserves attention from a new generation of viewers and another visit from the rest of us who love perfectly executed films by an unparalleled craftsman. Recently, this movie has been overshadowed by his 1962 follow-up epic, the comparatively more elaborate ""Lawrence of Arabia"", but this richly textured WWII-set adventure is special enough on its own terms. While it has its share of action and suspense presented in exacting detail, the film is even more resonant as a psychological drama about the test of wills between mission-driven officers amid the perils of wartime survival.The plot takes place in 1943 when after surrendering in Singapore, Col. Nicholson marches his ragged British company into a Japanese prisoner work camp in the Burmese jungle (this is where the famous whistling of ""Colonel Bogey March"" is first heard). The erudite Col. Saito runs the camp and demands that the new prisoners build a massive railway bridge, a critical juncture between Rangoon and Malaysia. In a classic stand-off, Nicholson finally forces Saito to respect Geneva Convention and not allow his officers to do manual labor on the construction. Upon his ironic Pyrrhic victory, Nicholson slowly descends into the madness of seeing the completed bridge as a potential morale booster for his battle-weary men. Meanwhile, shortly after Nicholson's arrival, U.S. Navy Cmdr. Shears escapes from the camp only to be later blackmailed into joining a British commando mission led by do-or-die Maj. Warden and hesitant Lt. Joyce with the sole goal of blowing up the bridge. Through Peter Taylor's thoughtful film editing, the movie breathlessly alternates between the parallel story lines of the bridge construction and the jungle commando mission until the exciting climax.Lean's accomplishments are many with this memorable film - the authenticity of the Burmese jungle locations (filmed in Sri Lanka), the seamless integration of the two story lines, the masterful handing of the final scenes, and in particular, the gradual metamorphosis of Nicholson from a by-the-book British officer to Saito's willing collaborator. A frequent participant in Lean's films, Alec Guinness gives his career-best performance as Nicholson providing all sorts of unexpected shades to his complex characterization. As Shears, William Holden does what he did best in the 1950's, concurrently exude natural bravado and a conflicted soul and then added a layer of cynicism that dares to challenge the viewer to support him. The 68-year old Sessue Hayakawa came out of retirement to play Saito and delivers a subtle performance of unbending discipline and pained humiliation. Jack Hawkins and Geoffrey Horne lend sturdy support as Warden and Joyce respectively. With the same expert eye he lent to ""Summertime"", Jack Hildyard provides the superbly expressive and composed cinematography. Michael Wilson and Carl Foreman, both blacklisted at the time, wrote the brilliantly developed screenplay. This is essential viewing.The two-disc 2000 Limited Edition DVD set has a pristine print transfer with great sound making the entire experience feel surprisingly fresh upon viewing. There is a nearly hour-long documentary on Disc Two, ""The Making of The Bridge on the River Kwai"", produced for the DVD and full of intriguing insight into the production logistics. There are a couple of shorter featurettes produced around the time of the film's original release, the first is a black-and-white teaser for the film itself and the second a rather pedestrian lesson in Film 101 produced by USC grad students and introduced by Holden. Director John Milius provides a respectful tribute to the film in another short."
